Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA0067.1,Pax2,0,2,0.1,166,0.1,Up,31257,0.686990673550845,19,2,3123,161,Up,0.258665052548907,-3.618515791923238,1.310083335896702,0.587262243530894
MA1471.1,BARX2,0.15,60,3.2,11605,3.7,Down,33390,0.345167794470016,19,14,3123,2634,Down,0.204855095185551,-0.336527786963356,-0.18178687354264,-0.688553229741349
MA0597.1,THAP1,0.03,19,1,3173,1,Down,31419.5,0.656925178290131,19,9,3123,1902,Down,0.24505923110079,-0.876370890796634,-0.322207629244057,-0.610728933467098
MA1642.1,NEUROG2(var.2),0.14,18,0.9,3738,1.2,Down,35025.5,0.174188406010393,19,8,3123,2140,Down,0.022800237547189,-0.871577535990252,-0.652723683243315,-1.642060628223412
MA0885.1,Dlx2,0.01,23,1.2,5386,1.7,Down,34174.5,0.253037938794937,19,8,3123,1903,Down,0.103125804664338,-0.95622416880758,-0.483430417608657,-0.98663264973978
MA0647.1,GRHL1,0.12,0,0,732,0.2,Down,33345,0.351032301922126,19,0,3123,387,Down,0.156167803111835,-4.148148766633081,-2.274506904458335,-0.80640849908987
MA1655.1,ZNF341,0.09,16,0.8,2956,0.9,Down,33026.5,0.394326526154359,19,8,3123,1851,Down,0.160464965897169,-0.976204179002896,-0.443470397218025,-0.794619771847055
MA1485.1,FERD3L,0.08,2,0.1,135,0,Up,31835,0.582621879186241,19,2,3123,97,Up,0.118850136381676,-3.982545812395395,2.038143376841017,0.925000315578416
MA0900.2,HOXA2,0.01,10,0.5,3248,1,Down,34233.5,0.246877243666676,19,4,3123,1118,Down,0.232849671096204,-1.798537745463165,-0.633878943913541,-0.632924371178553
MA0894.1,HESX1,0.02,23,1.2,5352,1.7,Down,34125.5,0.258235224837318,19,8,3123,1903,Down,0.103125804664338,-0.95622416880758,-0.483430417608657,-0.98663264973978
MA0672.1,NKX2-3,0.15,65,3.4,14061,4.5,Down,37665,0.04251849722521,19,18,3123,3071,Down,0.276871175771863,-0.050084499917446,-0.051728706631706,-0.557722254997722
MA0593.1,FOXP2,0.07,12,0.6,1428,0.5,Up,33258,0.362548219889001,19,9,3123,1099,Up,0.335306071176747,-1.271895315564604,0.468841220291883,0.474558583002169
MA0052.4,MEF2A,0.12,18,0.9,2869,0.9,Up,31791.5,0.590214851763212,19,12,3123,1622,Up,0.365238270894142,-0.793245540383268,0.303399022591489,0.437423721917259
