Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA0067.1,Pax2,0.11,54,4.2,19818,6.3,Down,29454.5,0.004951389367503,13,11,3123,3112,Down,0.001206194092769,-0.118207619414582,-0.226235853383748,-2.91858280277934
MA0597.1,THAP1,0.04,38,2.9,6637,2.1,Up,26708.5,0.049151048981172,13,13,3123,2598,Up,0.143570068914132,-0.132742235448806,0.265484470897611,0.842936091154466
MA1642.1,NEUROG2(var.2),0.06,15,1.2,2857,0.9,Up,23042.5,0.399799444263648,13,9,3123,1847,Up,0.57792337981572,-0.632274577125942,0.250629176812117,0.238129735851027
MA1471.1,BARX2,0.15,24,1.8,11605,3.7,Down,27473,0.027669075192078,13,9,3123,2634,Down,0.134227967670716,-0.37629716945596,-0.261325638527847,-0.872156985362354
MA0885.1,Dlx2,0.05,35,2.7,13510,4.3,Down,25591.5,0.104288432750125,13,10,3123,2767,Down,0.179439468427662,-0.268575146140654,-0.187989866488109,-0.746082025979229
MA0647.1,GRHL1,0.15,0,0,1074,0.3,Down,23809.5,0.281295133724533,13,0,3123,540,Down,0.142682117186723,-3.642842254497166,-2.224090495332605,-0.845630455012902
MA1655.1,ZNF341,0.06,9,0.7,1228,0.4,Up,25052,0.144618251738963,13,7,3123,982,Up,0.129596198823004,-1.258315561987247,0.820637310864595,0.88740773653953
MA1485.1,FERD3L,0.08,3,0.2,135,0,Up,22804.5,0.441938419392652,13,2,3123,97,Up,0.061371168712189,-3.717288454046005,2.568658093539797,1.212035606218728
MA0900.2,HOXA2,0.09,27,2.1,12226,3.9,Down,26296,0.065671424747812,13,8,3123,2665,Down,0.031809481982999,-0.448091004364404,-0.43866731309745,-1.497443403315054
MA0894.1,HESX1,0.06,35,2.7,13502,4.3,Down,25583,0.104846089602571,13,10,3123,2766,Down,0.180504932736987,-0.268835842753699,-0.187468473262019,-0.743510925441521
MA0672.1,NKX2-3,0.03,3,0.2,1574,0.5,Down,24076,0.246367261852203,13,3,3123,1235,Down,0.268407189519806,-1.642800549671297,-0.609464060869135,-0.571205855392161
MA0052.4,MEF2A,0.13,5,0.4,3506,1.1,Down,27415,0.028951723593214,13,3,3123,1814,Down,0.020197144687175,-1.365562026596022,-1.163941107019685,-1.69471002333822
MA0593.1,FOXP2,0.12,12,0.9,4967,1.6,Down,25430.5,0.115258828667622,13,7,3123,2283,Down,0.125746279375379,-0.649956823371055,-0.39608016636779,-0.900504856138016
MA0463.2,BCL6,0.15,0,0,285,0.1,Down,22080.5,0.584593035968623,13,0,3123,274,Down,0.620135685891712,-4.131586488861892,-1.246602026603154,-0.20751327632936
MA0462.2,BATF::JUN,0.15,12,0.9,5254,1.7,Down,25639,0.101215356142831,13,6,3123,2108,Down,0.135616872214889,-0.810697146154378,-0.487501275735996,-0.867686276147468
MA1537.1,NR2F1(var.2),0.15,1,0.1,91,0,Up,21318,0.754558458539247,13,1,3123,83,Up,0.297878821147808,-4.197584261766887,2.055318520649148,0.525960373540952
MA0612.2,EMX1,0.01,0,0,2221,0.7,Down,25863.5,0.087654623186361,13,0,3123,856,Down,0.025587742525438,-3.310762940322492,-2.888249123681954,-1.591968027985113
MA1514.1,KLF17,0.06,2,0.2,253,0.1,Up,21905.5,0.622033187001521,13,2,3123,230,Up,0.249338585336827,-3.096642140706141,1.32736546686007,0.603210508892178
MA0115.1,NR1H2::RXRA,0.13,0,0,14,0,Down,20390.5,0.977715613834982,13,0,3123,14,Down,0.999999999988137,-6.252927160800705,2.996079317274473,0.000000000005152
MA1112.2,NR4A1,0.15,12,0.9,4435,1.4,Down,26155,0.072275460778784,13,6,3123,2290,Down,0.0519216428968,-0.750974375534941,-0.606946816974871,-1.284651574109728
MA0696.1,ZIC1,0.15,3,0.2,620,0.2,Up,21448.5,0.724319287328888,13,3,3123,525,Up,0.469036920890005,-2.2594667203546,0.623868280497471,0.328792969848479
MA1104.2,GATA6,0.12,22,1.7,3897,1.2,Up,21210.5,0.779756294813689,13,7,3123,2061,Down,0.385795271137206,-0.723732987616199,-0.248527837877501,-0.413643099998521
MA0035.4,GATA1,0.12,16,1.2,4466,1.4,Down,23461,0.331827004393794,13,7,3123,2246,Down,0.211686429988139,-0.661740687298513,-0.372512438512874,-0.674306981235014
MA0059.1,MAX::MYC,0.11,6,0.5,902,0.3,Up,22627.5,0.474860659119639,13,4,3123,585,Up,0.282368352800517,-2.000192477392728,0.830459953343142,0.549183979625488
MA0862.1,GMEB2,0.15,18,1.4,7071,2.3,Down,26482,0.057728550155449,13,5,3123,2200,Down,0.027031798235938,-0.900394020848569,-0.790123725355204,-1.568125062774513
MA0477.2,FOSL1,0.15,10,0.8,3299,1.1,Down,22639,0.472681543129711,13,4,3123,1361,Down,0.41247743460693,-1.391464524121437,-0.386995953199439,-0.384599805401941
MA0474.2,ERG,0.07,0,0,864,0.3,Down,24570,0.189906994568879,13,0,3123,657,Down,0.083558308725901,-3.501494116274658,-2.50678677177762,-1.078010359003388
MA1154.1,ZNF282,0.15,1,0.1,214,0.1,Up,20512,0.947992399983947,13,1,3123,207,Up,0.590960011116658,-3.54095264488677,0.742055286888914,0.228441905817476
MA0050.2,IRF1,0.06,1,0.1,83,0,Up,21339.5,0.749549134929285,13,1,3123,80,Up,0.288835758521618,-4.223977968946604,2.108105935008584,0.539349041132619
MA1111.1,NR2F2,0.09,10,0.8,3186,1,Down,22418.5,0.51540861625915,13,7,3123,1927,Down,0.577376981294607,-0.772214788159033,-0.151564236791833,-0.238540534442148
MA0718.1,RAX,0.04,20,1.5,9958,3.2,Down,26990.5,0.03999112627688,13,8,3123,2558,Down,0.070097472214873,-0.477644978734301,-0.379559364357657,-1.154297642845405
MA0907.1,HOXC13,0.13,2,0.2,757,0.2,Down,21471,0.719147333104932,13,2,3123,645,Down,0.999999999990506,-2.353816968267215,-0.158284878017783,-0.000000000004123
MA1650.1,ZBTB14,0.1,9,0.7,1680,0.5,Up,23625,0.3073581304966,13,7,3123,1127,Up,0.246400120633501,-1.15901650148886,0.62203918986782,0.608359083884029
MA0691.1,TFAP4,0.09,17,1.3,3080,1,Up,24138.5,0.238636016836132,13,8,3123,1207,Up,0.150407785807577,-1.019282500877754,0.703715679929249,0.822729682057213
MA1118.1,SIX1,0.15,5,0.4,2176,0.7,Down,24177.5,0.233899354576579,13,4,3123,1507,Down,0.269999193526428,-1.317984014249612,-0.53395697294309,-0.568637533054143
MA1123.2,TWIST1,0.04,9,0.7,897,0.3,Up,26590.5,0.053475845872666,13,7,3123,770,Up,0.022902893853524,-1.433646787302839,1.171299761495779,1.640109639703166
MA1150.1,RORB,0.08,0,0,1139,0.4,Down,26377,0.062108098230829,13,0,3123,935,Down,0.013699912774439,-3.247120736744099,-3.015533530838739,-1.863282197931217
MA1114.1,PBX3,0.15,0,0,582,0.2,Down,23686,0.298569719463633,13,0,3123,521,Down,0.143950782852044,-3.668655937104609,-2.172463130117721,-0.841785968942214
MA0669.1,NEUROG2,0.05,1,0.1,133,0,Up,21153,0.793331707032763,13,1,3123,107,Up,0.366493174429494,-4.015339983209183,1.690829963533741,0.435934109249894
MA1120.1,SOX13,0.14,30,2.3,9536,3.1,Down,24277.5,0.222059610031265,13,10,3123,2748,Down,0.200027724733245,-0.27354456495623,-0.178051028856956,-0.698909805015145
MA0902.2,HOXB2,0.02,2,0.2,3331,1.1,Down,26490.5,0.057385537257477,13,1,3123,1168,Down,0.039586519690293,-2.294215398612501,-1.751419205659625,-1.402452678236204
MA0505.1,Nr5a2,0.06,3,0.2,513,0.2,Up,21887.5,0.625942554202029,13,3,3123,466,Up,0.427415320754115,-2.34537356190981,0.79568196360789,0.369149914554454
MA0732.1,EGR3,0.09,4,0.3,491,0.2,Up,22461,0.507020152929345,13,3,3123,400,Up,0.228116051560929,-2.455410981131334,1.015756802050939,0.641844154183816
MA1585.1,ZKSCAN1,0.04,3,0.2,482,0.2,Up,22085.5,0.583538879510854,13,3,3123,436,Up,0.410370255933891,-2.393321275520969,0.891577390830209,0.386824124874585
MA1116.1,RBPJ,0.01,28,2.2,5942,1.9,Up,22210,0.557580639702306,13,12,3123,2611,Up,0.706861977353068,-0.184658069291,0.147253513804513,0.150665378743095
MA0092.1,Hand1::Tcf3,0.01,1,0.1,99,0,Up,21217.5,0.778108121761149,13,1,3123,99,Up,0.344341777850987,-4.071124097732089,1.802398192579553,0.463010282583053
MA0878.2,CDX1,0.07,0,0,705,0.2,Down,24284,0.221305159274399,13,0,3123,613,Down,0.085552587541539,-3.551457891533039,-2.40685922126086,-1.06776685066972
MA0781.1,PAX9,0.15,0,0,14,0,Down,20390.5,0.977715613834982,13,0,3123,14,Down,0.999999999988137,-6.252927160800705,2.996079317274473,0.000000000005152
MA0461.2,Atoh1,0.13,16,1.2,3170,1,Up,21387,0.738519678105186,13,5,3123,1571,Down,0.420705244257491,-1.143238570646467,-0.304434625759409,-0.376022074296541
MA0641.1,ELF4,0.13,0,0,761,0.2,Down,24251.5,0.225095830746412,13,0,3123,608,Down,0.086086391666178,-3.557360932007627,-2.395053140311683,-1.065065495368453
MA0651.1,HOXC11,0.03,1,0.1,32,0,Up,21659,0.676454404827582,13,1,3123,31,Up,0.125052685228095,-4.900796446253954,3.461742889623284,0.902906978325934
MA0746.2,SP3,0.03,2,0.2,241,0.1,Up,22003,0.601044522083213,13,2,3123,215,Up,0.225703553441295,-3.145181581376261,1.42444434820031,0.646461603404304
MA1527.1,NFIC(var.2),0.14,4,0.3,558,0.2,Up,22469,0.505449208793449,13,3,3123,380,Up,0.205560161064369,-2.492363875583917,1.089662590956104,0.68706105070014
MA0495.3,MAFF,0.1,4,0.3,721,0.2,Up,22261.5,0.547009685363042,13,4,3123,636,Up,0.316139326003648,-1.939946805692656,0.709968609942999,0.500121476940982
MA1134.1,FOS::JUNB,0.15,12,0.9,4881,1.6,Down,25346,0.121369240697493,13,5,3123,1958,Down,0.086824228731426,-0.984435142570469,-0.622041481911404,-1.061359065882716
MA0744.2,SCRT2,0.13,2,0.2,1250,0.4,Down,24971.5,0.151544581821624,13,1,3123,1020,Down,0.072960218414037,-2.391906174487554,-1.556037653909518,-1.136913874571785
MA1564.1,SP9,0.07,11,0.8,3995,1.3,Down,24469.5,0.200543290087169,13,5,3123,1837,Down,0.162554610490501,-1.030437581740298,-0.530036603571747,-0.789000708221452
MA1562.1,SOX14,0.07,0,0,463,0.1,Down,23016.5,0.404281759539836,13,0,3123,418,Down,0.238380235426459,-3.82737575208932,-1.855023500148299,-0.622729755647655
MA0656.1,JDP2(var.2),0,0,0,2,0,Down,20306,0.998408052191647,13,0,3123,1,Down,0.999999999992661,-7.889436408003913,6.269097811680889,0.000000000003187
MA0769.2,TCF7,0.04,12,0.9,3816,1.2,Down,23897.5,0.269408131292152,13,6,3123,2115,Down,0.134136692981802,-0.80830631411577,-0.492282939813213,-0.87245240499894
MA1633.1,BACH1,0.1,3,0.2,380,0.1,Up,22642,0.472113984887434,13,3,3123,355,Up,0.178376110692712,-2.541387322525981,1.187709484840234,0.748663309651851
MA0829.2,SREBF1(var.2),0.15,1,0.1,1493,0.5,Down,24768,0.170178175294383,13,1,3123,895,Down,0.126163150855158,-2.486161597010933,-1.36752680886276,-0.899067473278386
MA0483.1,Gfi1b,0.12,6,0.5,2974,1,Down,26044.5,0.077822859055211,13,4,3123,1848,Down,0.047792882692487,-1.170885493549713,-0.828154014342886,-1.320636773628961
MA0903.1,HOXB3,0.01,2,0.2,3246,1,Down,26179,0.071114436567535,13,1,3123,1118,Down,0.040514090724319,-2.325761637474354,-1.688326727935918,-1.392393903710886
MA0738.1,HIC2,0.03,29,2.2,7798,2.5,Down,22994.5,0.408097871559681,13,10,3123,2738,Down,0.211136942194194,-0.276173864460842,-0.172792429847732,-0.675435772436391
MA0784.1,POU1F1,0.09,1,0.1,173,0.1,Up,20826.5,0.871490403019751,13,1,3123,158,Up,0.492240985948539,-3.73526689293421,1.130683782983794,0.307822228036269
MA0466.2,CEBPB,0.15,19,1.5,3432,1.1,Up,25014,0.147856982099939,13,10,3123,1879,Up,0.266592026409329,-0.547692346953603,0.370244535137789,0.574152844187782
MA0070.1,PBX1,0.15,6,0.5,1237,0.4,Up,21734.5,0.659588464570552,13,5,3123,971,Up,0.558083404936364,-1.49016675625317,0.389421745453998,0.253300891390736
MA1463.1,ARGFX,0.07,2,0.2,3245,1,Down,26178.5,0.071138467679028,13,1,3123,1118,Down,0.040514090724319,-2.325761637474354,-1.688326727935918,-1.392393903710886
MA0737.1,GLIS3,0.09,0,0,7,0,Down,20345,0.988856720222144,13,0,3123,7,Down,0.999999999989254,-6.728472360560231,3.947169716793527,0.000000000004667
MA0501.1,MAF::NFE2,0.15,0,0,331,0.1,Down,22282,0.542829606702124,13,0,3123,305,Down,0.629054004034179,-4.054403373455126,-1.400968257416685,-0.201312068946985
