Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA0067.1,Pax2,0.02,1,0,1198,0.4,Down,51085,0.037281346692449,25,1,3292,918,Down,0.005695381854759,-2.964647327641434,-2.245631027217812,-2.244477152734126
MA1471.1,BARX2,0.03,0,0,384,0.1,Down,45400,0.372969078367807,25,0,3292,340,Down,0.102803112171785,-4.472941039551651,-2.39896860483969,-0.987993737689244
MA1642.1,NEUROG2(var.2),0.05,14,0.6,1454,0.4,Up,46207.5,0.289052948099947,25,12,3292,1129,Up,0.203193205252575,-1.286034160973782,0.514930017554021,0.69209081888148
MA0597.1,THAP1,0.06,156,6.2,18665,5.7,Up,44987,0.421195673395668,25,24,3292,3216,Down,0.445310036268902,-0.045703624826763,-0.024023746059049,-0.351337516754955
MA0885.1,Dlx2,0.15,217,8.7,28078,8.5,Up,41371.5,0.962965177183665,25,23,3292,3156,Down,0.279247519358817,-0.089347089837373,-0.05697880091297,-0.554010676166024
MA0647.1,GRHL1,0.06,4,0.2,33,0,Up,44221,0.519723055317267,25,2,3292,18,Up,0.009537046658572,-5.413005803299531,4.125017112430794,2.02058609263966
MA1655.1,ZNF341,0.02,4,0.2,436,0.1,Up,42548.5,0.76939455697761,25,4,3292,411,Up,0.543870296707666,-2.751359722625717,0.497718764193068,0.264504659383418
MA1485.1,FERD3L,0.14,4,0.2,975,0.3,Down,44489,0.483956602077489,25,2,3292,542,Down,0.413144109694734,-2.975992822448084,-0.749008849272098,-0.383898434715136
MA0900.2,HOXA2,0.06,33,1.3,6257,1.9,Down,47747.5,0.166655362011962,25,13,3292,2183,Down,0.140847792112017,-0.755039374585824,-0.324996930444405,-0.851249956495626
MA0894.1,HESX1,0.01,22,0.9,1847,0.6,Up,46234,0.286533655949031,25,12,3292,1312,Up,0.418749025037407,-1.1777175849499,0.298296865506258,0.378046191110602
MA0672.1,NKX2-3,0.02,3,0.1,790,0.2,Down,44885.5,0.433585298447696,25,3,3292,682,Down,0.454722032803984,-2.567676454625277,-0.594787930577229,-0.342254002264281
MA0593.1,FOXP2,0.13,64,2.6,6983,2.1,Up,47487.5,0.18400396722911,25,25,3292,2723,Up,0.014563678951441,-0.136860786651716,0.273721573303433,1.836728903423524
MA0052.4,MEF2A,0.04,5,0.2,130,0,Up,47805,0.162990300760275,25,5,3292,125,Up,0.002416480385469,-3.463208947263651,2.500430447858907,2.616816725671836
MA0463.2,BCL6,0.15,0,0,295,0.1,Down,44650,0.463129497745644,25,0,3292,280,Down,0.264216898865301,-4.612768053253291,-2.119314577436412,-0.578039409093755
MA0462.2,BATF::JUN,0.01,0,0,296,0.1,Down,44612.5,0.467935428913077,25,0,3292,277,Down,0.262658482733785,-4.620524552938952,-2.103801578065088,-0.580608568799632
MA1537.1,NR2F1(var.2),0.14,1,0,86,0,Up,41745.5,0.900654652645355,25,1,3292,84,Up,0.478674684884965,-4.685775565056017,1.196625447611353,0.319959539941244
MA0612.2,EMX1,0.14,133,5.3,16969,5.2,Up,41486.5,0.943763589359566,25,22,3292,2987,Down,0.500588184033386,-0.160408486515112,-0.040327518253417,-0.300519405765874
MA1514.1,KLF17,0.06,0,0,287,0.1,Down,44512.5,0.480885302006444,25,0,3292,269,Down,0.259080592595839,-4.641625802181434,-2.061599079580124,-0.5865651182539
MA0115.1,NR1H2::RXRA,0.07,0,0,2,0,Down,41175,0.995818514484677,25,0,3292,2,Down,0.999999999988952,-8.017732486114005,4.690614288285018,0.000000000004798
MA1112.2,NR4A1,0.01,7,0.3,258,0.1,Up,49585.5,0.077005731361091,25,7,3292,243,Up,0.00187623831549,-2.761362254712256,1.991655016698557,2.72671199936384
MA0696.1,ZIC1,0.09,1,0,52,0,Up,42158,0.832648039005182,25,1,3292,51,Up,0.327311266998947,-5.042965019605499,1.911004356710318,0.485039044764559
MA1104.2,GATA6,0.05,3,0.1,687,0.2,Down,43935.5,0.559272031814608,25,3,3292,609,Down,0.604130884190349,-2.649277867218778,-0.431585105390226,-0.218868961836173
MA0035.4,GATA1,0.06,4,0.2,1238,0.4,Down,47567.5,0.178529123812695,25,4,3292,1007,Down,0.130698193797793,-2.105451971128865,-0.794096738800636,-0.88373041417211
MA0059.1,MAX::MYC,0.1,2,0.1,816,0.2,Down,45042,0.414569783227331,25,2,3292,558,Down,0.294608941155233,-2.955025750872347,-0.790942992423571,-0.530754076789197
MA0862.1,GMEB2,0.07,5,0.2,955,0.3,Down,44098,0.536583294194125,25,3,3292,633,Down,0.453468745191352,-2.621418667958479,-0.487303503910824,-0.34345264081711
MA0477.2,FOSL1,0.03,0,0,257,0.1,Down,44212.5,0.520879341306081,25,0,3292,245,Down,0.253814554243422,-4.70890692640034,-1.927036831142312,-0.59548347819727
MA0474.2,ERG,0.07,1,0,870,0.3,Down,48312.5,0.133233602313614,25,1,3292,699,Down,0.044558810866787,-3.161125159614732,-1.852675363271216,-1.351066407620768
MA1154.1,ZNF282,0.12,1,0,69,0,Up,41957.5,0.865579657774599,25,1,3292,67,Up,0.405324847921542,-4.847807484671693,1.520689286842706,0.39219677157429
MA0050.2,IRF1,0.11,14,0.6,1148,0.3,Up,48119,0.144040587654878,25,11,3292,905,Up,0.073983675056298,-1.505630140054096,0.713533508279226,1.130864099392226
MA1111.1,NR2F2,0.01,18,0.7,1009,0.3,Up,50035.5,0.062509635462968,25,11,3292,859,Up,0.064146759155262,-1.543238640790149,0.788750509751333,1.192825280310724
MA0718.1,RAX,0.05,117,4.7,14107,4.3,Up,42466,0.782645999661023,25,21,3292,2892,Down,0.53579947256256,-0.216513534209211,-0.059294106120373,-0.270997718244202
MA0907.1,HOXC13,0.13,12,0.5,734,0.2,Up,51130,0.036429305607556,25,11,3292,636,Up,0.004398274112066,-1.759907203578501,1.222087635328036,2.356717707751942
MA1650.1,ZBTB14,0.15,12,0.5,2512,0.8,Down,47185,0.205830332103499,25,7,3292,1438,Down,0.155583338274418,-1.480076482883783,-0.570916526958387,-0.808036914306029
MA0691.1,TFAP4,0.05,1,0,744,0.2,Down,45286.5,0.38586932831251,25,1,3292,453,Down,0.240323939179169,-3.473735912932847,-1.227453856634986,-0.619202966043455
MA1118.1,SIX1,0.03,3,0.1,174,0.1,Up,43935,0.559342555661841,25,3,3292,172,Up,0.142199156816819,-3.559792796696119,1.389444753564454,0.84710297878831
MA1123.2,TWIST1,0.15,37,1.5,4768,1.4,Up,44546,0.476525480743215,25,21,3292,2408,Up,0.264198779624553,-0.348604551913149,0.204887929287502,0.578069192790933
MA1150.1,RORB,0.11,19,0.8,2066,0.6,Up,46039.5,0.305370872081547,25,15,3292,1507,Up,0.164232824446712,-0.922627234970525,0.408796406771809,0.784540038133778
MA1114.1,PBX3,0.11,4,0.2,307,0.1,Up,44108.5,0.535133335341971,25,4,3292,287,Up,0.270890125526496,-3.010024959920661,1.015049238782956,0.567206825559354
MA0669.1,NEUROG2,0.15,4,0.2,1710,0.5,Down,47185,0.205830332103499,25,2,3292,740,Down,0.093962376220243,-2.751554523469581,-1.197885447229104,-1.02704600885601
MA1120.1,SOX13,0.01,8,0.3,633,0.2,Up,44285.5,0.510992232539028,25,6,3292,571,Up,0.423090307104591,-2.249171830379901,0.554372413098995,0.373566924135048
MA0902.2,HOXB2,0.13,316,12.6,42292,12.8,Down,42332.5,0.804221877224374,25,23,3292,3217,Down,0.113289457855542,-0.075539891164835,-0.084593198258046,-0.94581050150624
MA0505.1,Nr5a2,0.02,3,0.1,157,0,Up,42602,0.760836791659519,25,2,3292,153,Up,0.327448504243701,-3.886685063428916,1.072375632689564,0.484856989050084
MA0732.1,EGR3,0.1,1,0,567,0.2,Down,45299,0.384435386147001,25,1,3292,460,Down,0.241264174688325,-3.462686610151441,-1.249552462197798,-0.617507161681242
MA1585.1,ZKSCAN1,0.02,2,0.1,170,0.1,Up,42421.5,0.789820292503874,25,2,3292,161,Up,0.349937941659155,-3.850037308767042,0.999080123365819,0.456008967034453
MA1116.1,RBPJ,0.01,36,1.4,6441,2,Down,49134,0.094193039383021,25,19,3292,2762,Down,0.276308084352856,-0.320116049543484,-0.133814147131527,-0.558606408103859
MA0092.1,Hand1::Tcf3,0.03,5,0.2,1325,0.4,Down,47729,0.167847632156082,25,4,3292,1059,Down,0.08955145423961,-2.069150096650445,-0.866700487757476,-1.047927357183905
MA0878.2,CDX1,0.15,58,2.3,4943,1.5,Up,50856,0.041884645456175,25,21,3292,2323,Up,0.186126158744747,-0.374522191451275,0.256723208363754,0.730192585492915
MA0781.1,PAX9,0.11,0,0,2,0,Down,41175,0.995818514484677,25,0,3292,2,Down,0.999999999988952,-8.017732486114005,4.690614288285018,0.000000000004798
MA0461.2,Atoh1,0.13,14,0.6,3406,1,Down,49424.5,0.08281526678386,25,8,3292,1679,Down,0.070515778917521,-1.278057072815267,-0.613810855811778,-1.151713692511326
MA0641.1,ELF4,0.15,3,0.1,1130,0.3,Down,47411.5,0.189319298512871,25,3,3292,871,Down,0.114709667787458,-2.391340645466042,-0.9474595488957,-0.940399978002765
MA0651.1,HOXC11,0.11,7,0.3,360,0.1,Up,48463.5,0.125244872240345,25,7,3292,328,Up,0.009706724110319,-2.545376455592262,1.55968341845857,2.012927313949451
MA0746.2,SP3,0.12,21,0.8,5080,1.5,Down,50607,0.047427029534645,25,10,3292,2024,Down,0.037688235551936,-0.990862858330077,-0.578490121725316,-1.423794194415481
MA0495.3,MAFF,0.14,29,1.2,2333,0.7,Up,52775,0.014811989848245,25,19,3292,1674,Up,0.014788875341652,-0.681238093773204,0.588429941327914,1.830064851796618
MA1527.1,NFIC(var.2),0.07,1,0,96,0,Up,41875,0.879201583685889,25,1,3292,73,Up,0.432277433350956,-4.786379110778926,1.397832539057173,0.364237435821809
MA1134.1,FOS::JUNB,0.05,0,0,620,0.2,Down,46000,0.309294573147489,25,0,3292,388,Down,0.107382205513261,-4.377811139353831,-2.589228405235329,-0.969067680346682
MA0744.2,SCRT2,0.13,7,0.3,1404,0.4,Down,44525,0.479255966981856,25,7,3292,1124,Down,0.672804294018705,-1.657717262864518,-0.215634966996917,-0.172111245416628
MA1564.1,SP9,0.08,19,0.8,5201,1.6,Down,52479.5,0.0175490426566,25,10,3292,2089,Down,0.020744230426594,-0.968066800507101,-0.624082237371268,-1.683102672075448
MA1562.1,SOX14,0.11,3,0.1,1106,0.3,Down,48933.5,0.102752891054719,25,2,3292,908,Down,0.02503037741829,-2.604061133996947,-1.492872226174372,-1.601532601872208
MA0656.1,JDP2(var.2),0.01,2,0.1,23,0,Up,44200.5,0.522513997651702,25,2,3292,19,Up,0.010492509341748,-5.37503137668288,4.049068259197496,1.979120635452881
MA0769.2,TCF7,0.01,11,0.4,808,0.2,Up,47071,0.214525743634292,25,9,3292,712,Up,0.090238479533987,-1.81635967486616,0.7837236926765,1.044608230909076
MA1633.1,BACH1,0.13,8,0.3,688,0.2,Up,44020.5,0.547346127335197,25,6,3292,585,Up,0.429567988969923,-2.231713994236532,0.519456740812258,0.366968089346908
MA0829.2,SREBF1(var.2),0.11,2,0.1,753,0.2,Down,44626.5,0.466137990134651,25,2,3292,527,Down,0.411311799333509,-2.996218844316731,-0.708556805534804,-0.385828831672613
MA0903.1,HOXB3,0.07,271,10.8,35540,10.8,Up,41558.5,0.931757629074569,25,23,3292,3208,Down,0.135909742235352,-0.077560473775767,-0.080552033036182,-0.866749411204159
MA0483.1,Gfi1b,0.14,35,1.4,5437,1.7,Down,45322,0.381805463358934,25,16,3292,2611,Down,0.079438246366482,-0.481167979692331,-0.293726485841423,-1.099970351644678
MA0738.1,HIC2,0.03,67,2.7,8391,2.5,Up,41438.5,0.95177483614715,25,25,3292,2911,Up,0.105603142660335,-0.088710410854528,0.177420821709057,0.976323157372913
MA0784.1,POU1F1,0.12,9,0.4,552,0.2,Up,48309.5,0.133396223968154,25,8,3292,479,Up,0.022175875309848,-2.182271610423451,1.194618219404589,1.654119229005395
MA0466.2,CEBPB,0.14,15,0.6,2771,0.8,Down,47805,0.162990300760275,25,10,3292,1747,Down,0.229097667784373,-1.096999452036907,-0.366216934311657,-0.63997933190852
MA1463.1,ARGFX,0.04,4,0.2,1641,0.5,Down,47452.5,0.186437927485171,25,4,3292,961,Down,0.186535092067792,-2.139162509166582,-0.726675662725204,-0.729239454162185
MA0070.1,PBX1,0.11,1,0,453,0.1,Down,44513,0.480820070733081,25,1,3292,399,Down,0.352393500492298,-3.56518943673312,-1.04454680903444,-0.452972110266689
MA0737.1,GLIS3,0.15,1,0,103,0,Up,41532.5,0.93609146793667,25,1,3292,101,Up,0.543295596724417,-4.55354732460452,0.932168966708361,0.264963814800694
MA0501.1,MAF::NFE2,0.12,3,0.1,173,0.1,Up,44002.5,0.549861079303686,25,3,3292,166,Up,0.131779450982195,-3.585329888993253,1.440518938158724,0.880152306136638
MA0259.1,ARNT::HIF1A,0.1,122,4.9,18249,5.5,Down,48011,0.150357918811161,25,22,3292,3146,Down,0.099324968787583,-0.123003871606823,-0.115136748069996,-1.002941562747633
MA0147.3,MYC,0.09,6,0.2,2266,0.7,Down,47770.5,0.165181971777591,25,3,3292,902,Down,0.112886364924426,-2.366127511641617,-0.997885816544548,-0.947358511535552
MA1574.1,THRB,0.15,1,0,341,0.1,Down,43415.5,0.634847018349418,25,1,3292,312,Down,0.506645155661803,-3.742359093422384,-0.690207495655912,-0.295296105542717
MA1587.1,ZNF135,0.15,3,0.1,481,0.1,Down,43199,0.667536867803746,25,2,3292,442,Down,0.56615739251189,-3.122965663628825,-0.455063166910616,-0.247062817579967
MA1419.1,IRF4,0.09,0,0,8,0,Down,41250,0.983275206322924,25,0,3292,8,Down,0.99999999998718,-7.134965112932517,2.925079541922041,0.000000000005567
MA0152.1,NFATC2,0.07,70,2.8,9844,3,Down,44300,0.509040092395327,25,25,3292,3024,Up,0.258694144355666,-0.061243389897281,0.122486779794561,0.587213401599668
MA1621.1,Rbpjl,0.04,19,0.8,2172,0.7,Up,42414.5,0.790950473548645,25,10,3292,1536,Down,0.55148207039905,-1.189821796371825,-0.180572245641821,-0.258468602631468
MA0667.1,MYF6,0.14,12,0.5,1404,0.4,Up,44645.5,0.463704752825633,25,9,3292,851,Up,0.255191980303977,-1.687801416996622,0.526607176937424,0.593132977930718
MA0655.1,JDP2,0.14,1,0,1292,0.4,Down,49160,0.093126175975915,25,1,3292,756,Down,0.027689088442844,-3.10461714708874,-1.9656913883232,-1.557691341501051
MA0048.2,NHLH1,0.14,66,2.6,8279,2.5,Up,44069,0.540598182338125,25,23,3292,2502,Up,0.062271974877288,-0.25682493085719,0.277976881126663,1.205707360957444
MA1483.1,ELF2,0.14,4,0.2,1374,0.4,Down,48871,0.105544163125812,25,3,3292,1017,Down,0.048620360877104,-2.27961253295208,-1.170915773923624,-1.313181821997139
MA1110.1,NR1H4,0.11,11,0.4,2434,0.7,Down,48423,0.127349972562489,25,9,3292,1694,Down,0.159339122522108,-1.191410816093896,-0.466174024868027,-0.797677578816339
MA0522.3,TCF3,0.01,15,0.6,1697,0.5,Up,44041.5,0.544419227388978,25,11,3292,1264,Up,0.680486324051272,-1.264739894697561,0.231753017566156,0.167180598526407
MA1557.1,SMAD5,0.01,1,0,17,0,Up,42619.5,0.758043805137188,25,1,3292,14,Up,0.107495083820766,-5.957224785633322,3.739523888765965,0.968611397314286
MA0733.1,EGR4,0.13,9,0.4,2220,0.7,Down,47143.5,0.208965638721815,25,7,3292,1345,Down,0.224293609299545,-1.528287897933218,-0.474493696859518,-0.649183100404918
MA0159.1,RARA::RXRA,0.15,0,0,751,0.2,Down,49312.5,0.087062423251504,25,0,3292,653,Down,0.00881385736482,-4.002674820659969,-3.339501042623052,-2.054833981982777
MA0657.1,KLF13,0.15,0,0,369,0.1,Down,45187.5,0.397341164237882,25,0,3292,323,Down,0.165399749577204,-4.509885582561433,-2.325079518820126,-0.781465152324711
MA0525.2,TP63,0.07,0,0,3,0,Down,41175,0.995818514484677,25,0,3292,2,Down,0.999999999988952,-8.017732486114005,4.690614288285018,0.000000000004798
MA1530.1,NKX6-3,0.12,82,3.3,12287,3.7,Down,44705,0.456130833249157,25,19,3292,2948,Down,0.041339546581143,-0.273112684715604,-0.227820876787286,-1.383634291094983
MA0812.1,TFAP2B(var.2),0.15,92,3.7,14290,4.3,Down,48151,0.142208417555945,25,18,3292,2859,Down,0.038918255631258,-0.333196255641568,-0.259551441401957,-1.40984663363227
MA0621.1,mix-a,0.02,2,0.1,1189,0.4,Down,47559,0.179105005431532,25,2,3292,752,Down,0.093229823369087,-2.739958600290473,-1.221077293587321,-1.030445138581941
MA0682.2,PITX1,0.01,15,0.6,2468,0.7,Down,45070.5,0.411160750462038,25,10,3292,1652,Down,0.324161909221399,-1.137320543970779,-0.285574750443913,-0.489238018441369
MA1531.1,NR1D1,0.15,3,0.1,199,0.1,Up,43699.5,0.593029851171938,25,3,3292,190,Up,0.175083539967908,-3.488195478782223,1.246250117736663,0.756754681084589
MA0695.1,ZBTB7C,0.15,132,5.3,17665,5.4,Down,41914,0.872757416217693,25,23,3292,3206,Down,0.141073191083457,-0.078010261799971,-0.079652456987775,-0.850555509780298
MA1148.1,PPARA::RXRA,0.11,0,0,163,0,Down,43100,0.682702854716167,25,0,3292,156,Down,0.628826138852577,-5.033687110091377,-1.277476463760237,-0.201469413973266
MA1534.1,NR1I3,0.09,18,0.7,3838,1.2,Down,50038.5,0.062421151646634,25,12,3292,2184,Down,0.058594800666594,-0.810224743448215,-0.436688817497112,-1.232140918828102
MA1109.1,NEUROD1,0.1,19,0.8,1840,0.6,Up,48552,0.120739295557993,25,15,3292,1345,Up,0.065455721078869,-1.00463504054404,0.572812017918839,1.184052388465449
MA0485.2,HOXC9,0.1,8,0.3,431,0.1,Up,47772,0.165086222771031,25,7,3292,399,Up,0.026274596256511,-2.404225389289438,1.277381285852923,1.580463948750398
MA0838.1,CEBPG,0.1,0,0,160,0,Down,42825,0.725491192637983,25,0,3292,134,Down,0.623198688362857,-5.142965352279375,-1.058919979384243,-0.205373469387759
