Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA0067.1,Pax2,0,0,0,166,0.1,Down,67275,0.603451101805462,39,0,3291,159,Down,0.259707756223119,-5.335448808415361,-1.936663879523485,-0.585515079887061
MA1471.1,BARX2,0.11,65,1.7,5638,1.7,Down,73405,0.121999015486896,39,19,3291,2203,Down,0.02477672926978,-0.798663415227953,-0.439430228173803,-1.605956024587819
MA1642.1,NEUROG2(var.2),0.01,7,0.2,831,0.3,Down,68187.5,0.501379811808446,39,6,3291,714,Down,0.435359417223831,-2.403540155679341,-0.39960174871334,-0.361152056914565
MA0597.1,THAP1,0.01,18,0.5,1281,0.4,Up,71060,0.248678038251419,39,17,3291,1006,Up,0.083222895130348,-1.441947878364642,0.534900294265011,1.079757180188536
MA0885.1,Dlx2,0.01,75,1.9,5637,1.7,Up,65759,0.790655018677672,39,21,3291,2028,Down,0.32515549057869,-0.78792394434361,-0.179184098262791,-0.487908908093435
MA0647.1,GRHL1,0.1,1,0,339,0.1,Down,67440.5,0.584261109964078,39,1,3291,250,Down,0.361482825781957,-4.217340468339613,-1.002955558232668,-0.441912331413176
MA1655.1,ZNF341,0.08,48,1.2,3310,1,Up,71231.5,0.237087236435014,39,28,3291,2050,Up,0.248112169760034,-0.576830094051816,0.21187872007891,0.605351933309382
MA1485.1,FERD3L,0.12,10,0.3,582,0.2,Up,69255.5,0.394631438162202,39,7,3291,311,Up,0.092007869749916,-2.899165640981535,1.004550976825901,1.036175024363241
MA0900.2,HOXA2,0,2,0.1,91,0,Up,65709.5,0.797049764760679,39,2,3291,90,Up,0.293200516466119,-4.583268124312512,1.202830942045541,0.532835269030268
MA0894.1,HESX1,0.05,123,3.2,9823,3,Up,67987,0.522998976009349,39,29,3291,2674,Down,0.300728354969356,-0.360306846443799,-0.121661704742926,-0.521825621363535
MA0672.1,NKX2-3,0.04,30,0.8,3355,1,Down,72792.5,0.148789148463244,39,20,3291,2062,Down,0.182276143008099,-0.810289910978483,-0.271877665161073,-0.739270169732016
MA0593.1,FOXP2,0.15,94,2.4,7736,2.4,Up,64307.5,0.982222821714104,39,31,3291,2821,Down,0.253350498730579,-0.274391836425661,-0.104217976503051,-0.59627823644643
MA0052.4,MEF2A,0.15,74,1.9,7023,2.1,Down,71912.5,0.194841037267568,39,24,3291,2422,Down,0.100752853833845,-0.565659718088969,-0.246822371945851,-0.996742643581515
MA0463.2,BCL6,0.11,3,0.1,100,0,Up,67233,0.608365786051579,39,3,3291,96,Up,0.108047493047069,-4.294249135634953,1.595646619030908,0.966385305305082
MA0462.2,BATF::JUN,0.13,69,1.8,5118,1.6,Up,65448,0.831048856335925,39,28,3291,2080,Up,0.317799560067268,-0.566352821693045,0.190924175361367,0.497846708325902
MA1537.1,NR2F1(var.2),0.14,0,0,86,0,Down,65812.5,0.783759350445698,39,0,3291,84,Down,0.625151329956569,-5.793715397156703,-1.0201307020408,-0.204014840560195
MA1514.1,KLF17,0.06,0,0,287,0.1,Down,69420,0.379505440984751,39,0,3291,269,Down,0.070647529569066,-4.957084383921543,-2.693392728511121,-1.150903020132211
MA0612.2,EMX1,0.1,114,2.9,8558,2.6,Up,65050,0.883386655332091,39,27,3291,2548,Down,0.247350637255448,-0.445758939582777,-0.153324190139333,-0.606686966414949
MA0115.1,NR1H2::RXRA,0.13,0,0,14,0,Down,64447.5,0.96351970216141,39,0,3291,14,Down,0.999999999994256,-7.065164617734009,1.522767739113813,0.000000000002494
MA1112.2,NR4A1,0.1,16,0.4,1761,0.5,Down,71537,0.217396461091783,39,11,3291,1348,Down,0.139402094209764,-1.533804234151487,-0.492829115937207,-0.855730701869913
MA0696.1,ZIC1,0.15,7,0.2,601,0.2,Down,65519.5,0.821718393997954,39,7,3291,507,Up,0.655029887495196,-2.547077811457267,0.300375317777364,0.183738883705753
MA1104.2,GATA6,0.06,4,0.1,689,0.2,Down,69635.5,0.360237924159031,39,4,3291,610,Down,0.217624691094663,-2.782268872082937,-0.703173749303706,-0.662291832329424
MA0059.1,MAX::MYC,0.03,1,0,53,0,Up,64824.5,0.913283290554983,39,1,3291,51,Up,0.460639843409084,-5.358423601345607,1.279210707779322,0.336638500100984
MA0035.4,GATA1,0.12,47,1.2,4759,1.4,Down,72960,0.141052240882915,39,24,3291,2406,Down,0.144675291779069,-0.570439839257755,-0.23726212960828,-0.839605633084603
MA0862.1,GMEB2,0.15,67,1.7,7021,2.1,Down,73224,0.129490715706039,39,19,3291,2231,Down,0.015298348538447,-0.789554960240743,-0.457647138148223,-1.815355448878485
MA0477.2,FOSL1,0.02,2,0.1,61,0,Up,66351,0.715379258368221,39,2,3291,57,Up,0.151029190465051,-4.910446042381926,1.857186778184371,0.820939105470368
MA0474.2,ERG,0.12,22,0.6,3428,1,Down,80556.5,0.006059061388307,39,13,3291,1874,Down,0.005028449156521,-1.180566309072016,-0.736653873883238,-2.298565936736594
MA1154.1,ZNF282,0.14,6,0.2,155,0,Up,71107.5,0.245428788044429,39,6,3291,150,Up,0.008670625920283,-3.527125417847398,1.847568775622775,2.061949550284671
MA0050.2,IRF1,0.07,2,0.1,160,0,Up,64493.5,0.957378267015081,39,2,3291,152,Up,0.701308231933943,-4.206858351628989,0.450011396678498,0.154091063336346
MA1111.1,NR2F2,0.09,41,1.1,3428,1,Up,66892.5,0.648849033398367,39,21,3291,2052,Down,0.319104087948912,-0.779439484614163,-0.196153017721685,-0.496067632151577
