Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA0067.1,Pax2,0.03,1,0.2,1550,0.7,Down,7549.5,0.267504477333325,5,1,2347,1070,Down,0.384410048129159,-1.503654740035884,-0.741628755760514,-0.41520526879222
MA1642.1,NEUROG2(var.2),0.01,2,0.4,591,0.3,Up,6858.5,0.51356375656302,5,2,2347,516,Up,0.304561129711397,-1.660894213713006,1.046781379926142,0.516325525258188
MA0597.1,THAP1,0,1,0.2,56,0,Up,6905,0.494004885676344,5,1,2347,54,Up,0.111670429712143,-3.651597117840176,3.554255999848069,0.952061812676701
MA1471.1,BARX2,0.09,9,1.8,2492,1.1,Up,7205.5,0.37774864717119,5,1,2347,1255,Down,0.190873611407661,-1.388666123592889,-0.971605988646504,-0.719254109386389
MA0885.1,Dlx2,0,1,0.2,188,0.1,Up,6591,0.633394758675065,5,1,2347,178,Up,0.327085729636343,-2.79579914821409,1.842660060595896,0.485338403216457
MA0647.1,GRHL1,0,0,0,0,0,Up,5867.5,1,5,0,2347,0,Up,1,-7.828170530589217,8.73747782390384,-0
MA1655.1,ZNF341,0,1,0.2,2,0,Up,7036,0.441114665388389,5,1,2347,2,Up,0.006366704849146,-5.874725232784958,8.000512229737634,2.196085282908001
MA1485.1,FERD3L,0.15,0,0,766,0.3,Down,6977.5,0.464322858933526,5,0,2347,444,Down,0.590776094310165,-2.930150726174332,-1.05856178492593,-0.228577086683097
MA0900.2,HOXA2,0.01,10,2,2430,1,Up,7378,0.31936212800377,5,3,2347,854,Up,0.361213082096658,-1.055024728722345,0.805896064285304,0.442236529179391
MA0894.1,HESX1,0.05,21,4.2,6918,2.9,Up,6625.5,0.617287978472969,5,5,2347,1866,Up,0.590100177865901,-0.165394824619034,0.330789649238067,0.22907425445748
MA0672.1,NKX2-3,0.07,14,2.8,7631,3.3,Down,6168,0.842967498162819,5,3,2347,2244,Down,0.018073027284914,-0.358403879102643,-0.587345634954101,-1.742969095750281
MA0593.1,FOXP2,0.06,2,0.4,597,0.3,Up,6847,0.518462328801131,5,2,2347,519,Up,0.307228258201629,-1.65671651369343,1.03842597988699,0.512538841320783
MA0052.4,MEF2A,0.12,2,0.4,2048,0.9,Down,7417.5,0.306871211898616,5,1,2347,1176,Down,0.217952891435679,-1.43554647761649,-0.877845280599302,-0.661637365112777
MA0463.2,BCL6,0.04,0,0,5,0,Down,5880,0.993425189017591,5,0,2347,5,Down,0.999999999996011,-6.09845472127057,5.278046205266542,0.000000000001733
MA0462.2,BATF::JUN,0.11,4,0.8,1585,0.7,Up,6967.5,0.468356995363967,5,3,2347,765,Up,0.337946739871381,-1.134363785810521,0.964574178461656,0.471151738783142
