Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA0067.1,Pax2,0.03,25,1.3,1550,0.7,Up,28858,0.076671105,20,13,2347,1070,Up,0.113153425,-0.867752432,0.53017586,0.946332297
MA0597.1,THAP1,0.04,59,3,5111,2.2,Up,30777.5,0.016349127,20,20,2347,1945,Up,0.036014525,-0.135492089,0.270984178,1.443522313
MA1471.1,BARX2,0.09,8,0.4,2492,1.1,Down,30999,0.01336825,20,4,2347,1255,Down,0.002987419,-1.545245066,-1.284763874,-2.524703924
MA1642.1,NEUROG2(var.2),0.02,13,0.7,737,0.3,Up,28604.5,0.091594907,20,9,2347,615,Up,0.072646607,-1.520459444,0.821669905,1.138784665
MA0885.1,Dlx2,0.01,16,0.8,3988,1.7,Down,29990,0.032171118,20,8,2347,1414,Down,0.07084649,-1.000461072,-0.539256182,-1.149681665
MA0647.1,GRHL1,0.13,6,0.3,667,0.3,Up,24639,0.700905357,20,4,2347,325,Up,0.509728387,-2.519011356,0.662768706,0.29266118
MA1655.1,ZNF341,0.14,23,1.2,2627,1.1,Up,24884.5,0.642101465,20,15,2347,1536,Up,0.481440528,-0.507416543,0.208121697,0.317457354
MA1485.1,FERD3L,0.08,1,0.1,109,0,Up,23802,0.913134817,20,1,2347,83,Up,0.515980134,-4.292897327,1.040615646,0.287367019
MA0900.2,HOXA2,0.15,44,2.2,9825,4.2,Down,31827.5,0.006032202,20,13,2347,2030,Down,0.013249836,-0.405977317,-0.393374372,-1.8777895
MA0894.1,HESX1,0.03,16,0.8,3988,1.7,Down,29990,0.032171118,20,8,2347,1414,Down,0.07084649,-1.000461072,-0.539256182,-1.149681665
MA0672.1,NKX2-3,0.04,26,1.3,2388,1,Up,27610.5,0.173689115,20,16,2347,1480,Up,0.16180651,-0.489099276,0.351882782,0.791004008
MA0593.1,FOXP2,0.09,7,0.4,1986,0.8,Down,29299,0.055462419,20,7,2347,1229,Down,0.176139521,-1.191857416,-0.517607986,-0.754143188
MA0463.2,BCL6,0.12,1,0.1,94,0,Up,23732,0.931398526,20,1,2347,91,Up,0.548928748,-4.226899554,0.9086201,0.260484024
MA0052.4,MEF2A,0.15,17,0.9,4883,2.1,Down,32928,0.001886021,20,7,2347,1697,Down,5.91E-04,-0.959187496,-0.982947826,-3.228462296
MA0462.2,BATF::JUN,0.01,0,0,186,0.1,Down,25250,0.558645195,20,0,2347,178,Down,0.394419183,-4.537340592,-1.640422826,-0.404041971
MA1537.1,NR2F1(var.2),0.12,1,0.1,29,0,Up,24353.5,0.771593003,20,1,2347,29,Up,0.225967688,-5.043427949,2.541676889,0.645953658
MA1514.1,KLF17,0.05,3,0.2,76,0,Up,25103.5,0.591461388,20,2,2347,75,Up,0.136251047,-3.997064306,1.922880793,0.86566015
MA0612.2,EMX1,0.07,11,0.6,2867,1.2,Down,29347,0.053482146,20,4,2347,1070,Down,0.023901295,-1.660233683,-1.054786641,-1.621578576
MA0115.1,NR1H2::RXRA,0.08,0,0,1,0,Down,23480,0.997378393,20,0,2347,1,Down,1,-7.984749473,5.254394937,1.214E-12
MA1112.2,NR4A1,0.15,13,0.7,3348,1.4,Down,32157.5,0.004311087,20,8,2347,1723,Down,0.001779775,-0.857936511,-0.824305304,-2.749634929
MA0696.1,ZIC1,0.11,1,0.1,93,0,Up,23751.5,0.926306731,20,1,2347,89,Up,0.540897368,-4.242841585,0.940504161,0.266885132
MA1104.2,GATA6,0.15,22,1.1,3559,1.5,Down,28041,0.133124334,20,9,2347,1676,Down,0.013273888,-0.797648583,-0.623951816,-1.877001849
MA0035.4,GATA1,0.15,30,1.5,4288,1.8,Down,25987.5,0.408137544,20,14,2347,1890,Down,0.255368256,-0.405964159,-0.187213701,-0.59283309
MA0059.1,MAX::MYC,0.12,11,0.6,816,0.3,Up,24825,0.656166063,20,5,2347,491,Up,0.589243633,-2.076991111,0.35774145,0.229705102
MA0862.1,GMEB2,0.06,3,0.2,359,0.2,Down,24284,0.789117949,20,3,2347,257,Up,0.47604185,-2.869338952,0.638283738,0.322354866
MA0477.2,FOSL1,0.03,0,0,170,0.1,Down,25100,0.592256113,20,0,2347,163,Down,0.393381081,-4.600657311,-1.513789388,-0.40518653
MA0474.2,ERG,0.08,1,0.1,932,0.4,Down,29317.5,0.054692069,20,1,2347,693,Down,0.012820059,-2.765873437,-2.013432134,-1.892109967
MA1154.1,ZNF282,0.14,0,0,121,0.1,Down,24640,0.700661854,20,0,2347,117,Down,0.621053029,-4.83897225,-1.037159509,-0.206871315
MA0050.2,IRF1,0.15,13,0.7,2076,0.9,Down,27381,0.198778926,20,7,2347,1234,Down,0.175951922,-1.188929865,-0.523463088,-0.754605985
MA1111.1,NR2F2,0.15,34,1.7,3457,1.5,Up,26891,0.260996563,20,18,2347,1723,Up,0.125614241,-0.296941249,0.29768522,0.900961121
MA0718.1,RAX,0.01,3,0.2,1575,0.7,Down,30078,0.029916648,20,3,2347,953,Down,0.021280004,-1.925008698,-1.250376768,-1.67202829
MA0907.1,HOXC13,0.14,4,0.2,1091,0.5,Down,27618,0.172911074,20,4,2347,844,Down,0.164543386,-1.831291416,-0.712671173,-0.78371957
MA1650.1,ZBTB14,0.08,2,0.1,807,0.3,Down,27090,0.234272749,20,2,2347,581,Down,0.190254458,-2.524448985,-1.022349849,-0.720665158
MA1118.1,SIX1,0.11,10,0.5,815,0.3,Up,27770,0.157699229,20,10,2347,688,Up,0.050680172,-1.36741559,0.804362017,1.295161921
MA0691.1,TFAP4,0.12,60,3,4570,1.9,Up,29550.5,0.045730607,20,16,2347,1380,Up,0.067316379,-0.539546078,0.452776385,1.171879252
MA1123.2,TWIST1,0.15,29,1.5,3395,1.4,Up,24805.5,0.66080243,20,13,2347,1735,Down,0.441989755,-0.519219148,-0.16689071,-0.354587798
MA1114.1,PBX3,0.02,1,0.1,23,0,Up,24413.5,0.756556374,20,1,2347,23,Up,0.185067686,-5.207455047,2.869731087,0.732669406
MA1150.1,RORB,0.04,0,0,320,0.1,Down,26330,0.347365872,20,0,2347,286,Down,0.15909886,-4.196035059,-2.323033891,-0.798332933
MA0669.1,NEUROG2,0.15,4,0.2,1261,0.5,Down,26653,0.29563533,20,2,2347,547,Down,0.19286293,-2.567909099,-0.935429622,-0.714751241
MA1120.1,SOX13,0.03,5,0.3,1872,0.8,Down,31454.5,0.008703933,20,4,2347,1234,Down,0.005506484,-1.557412662,-1.260428682,-2.259125617
MA0902.2,HOXB2,0.07,37,1.9,7291,3.1,Down,30117,0.028961777,20,13,2347,1958,Down,0.062448376,-0.432020266,-0.341288473,-1.204478855
MA0505.1,Nr5a2,0.07,7,0.4,488,0.2,Up,27182.5,0.222534243,20,7,2347,432,Up,0.077109166,-1.945507265,0.989691711,1.112893997
MA1585.1,ZKSCAN1,0.07,3,0.2,1047,0.4,Down,28568,0.093924205,20,3,2347,835,Down,0.061535333,-2.020305254,-1.059783658,-1.210875448
MA0732.1,EGR3,0.06,1,0.1,62,0,Up,24033,0.853240763,20,1,2347,61,Up,0.413172454,-4.513492221,1.481805433,0.38386864
MA1116.1,RBPJ,0,2,0.1,34,0,Up,25486,0.507716433,20,2,2347,33,Up,0.034164565,-4.583222081,3.095196342,1.466424107
MA0878.2,CDX1,0.15,22,1.1,3500,1.5,Down,27200,0.220361658,20,12,2347,1654,Down,0.328196442,-0.609212841,-0.208965949,-0.483866132
MA0092.1,Hand1::Tcf3,0.06,48,2.4,5627,2.4,Up,24764.5,0.670593079,20,16,2347,2138,Down,0.098435961,-0.223841918,-0.178631935,-1.006846213
MA0781.1,PAX9,0.11,0,0,2,0,Down,23490,0.994756815,20,0,2347,2,Down,1,-7.616266676,4.517429343,3.71E-13
MA0461.2,Atoh1,0.13,8,0.4,2449,1,Down,30861.5,0.015156117,20,4,2347,1195,Down,0.006350826,-1.580569016,-1.214115975,-2.197169791
MA0641.1,ELF4,0.13,1,0.1,531,0.2,Down,26640.5,0.297535967,20,1,2347,430,Down,0.152789105,-3.10981476,-1.325549489,-0.815907614
MA0651.1,HOXC11,0.14,6,0.3,1124,0.5,Down,27111.5,0.231505966,20,4,2347,839,Down,0.165596465,-1.835574965,-0.704104076,-0.780948938
MA0746.2,SP3,0.04,5,0.3,237,0.1,Up,27217.5,0.218204329,20,5,2347,205,Up,0.02689939,-2.706017622,1.615794473,1.570257573
MA0495.3,MAFF,0.03,1,0.1,15,0,Up,24493.5,0.736650949,20,1,2347,15,Up,0.127332388,-5.507651318,3.470123628,0.895061116
MA1527.1,NFIC(var.2),0.02,1,0.1,6,0,Up,24583.5,0.714467331,20,1,2347,6,Up,0.057739627,-6.134529614,4.723880221,1.238526029
MA1134.1,FOS::JUNB,0.11,25,1.3,2486,1.1,Up,25479.5,0.509085771,20,10,2347,969,Up,0.496556058,-1.120523468,0.310577773,0.304031715
MA0744.2,SCRT2,0.01,1,0.1,10,0,Up,24543.5,0.724298246,20,1,2347,10,Up,0.089296724,-5.788590762,4.032002516,1.049164471
MA1564.1,SP9,0.01,3,0.2,93,0,Up,26094.5,0.388504514,20,3,2347,89,Up,0.040118726,-3.631645374,2.162896583,1.396652864
