,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std
Rcn1,0.592974106,6.538231303,7.664232344,1.82E-14,3.12E-10,2.55820167,7.66244572
Barhl2,-4.014760361,-1.124108318,-6.176515862,1.93E-09,1.65E-05,-3.083043786,-6.003838656
Tspan18,0.677968056,3.866709131,5.672589548,1.44E-08,8.22E-05,-0.491376306,5.668401048
Prg4,-1.594840598,4.127414206,-5.389548566,7.78E-08,0.000266181,-2.773968335,-5.372223865
Rcan3,0.447876542,6.987759209,5.411393509,6.27E-08,0.000266181,0.587311721,5.410799736
Ccdc177,0.824638733,2.445109739,5.302239234,1.21E-07,0.000333701,-1.699950939,5.291345734
Slc24a4,1.244565141,2.217259232,5.284457115,1.36E-07,0.000333701,-1.915169698,5.269898705
Cryab,-0.895105078,5.339555298,-5.213686748,1.90E-07,0.000406072,-2.05768502,-5.209029564
Chodl,-1.847970221,4.224062244,-5.010420532,5.51E-07,0.001047586,-0.8002215,-5.007665276
Efemp1,-0.798700686,5.341630814,-4.941038808,7.80E-07,0.001335381,-0.407746819,-4.940223305
Klf4,-0.917651138,2.941418177,-4.897233695,9.99E-07,0.001554562,-1.576819855,-4.891785883
Mpped2,0.459189607,5.720563739,4.846914767,1.26E-06,0.001793852,-0.237486995,4.846294568
Fam107a,-0.587115857,6.869873148,-4.748361855,2.05E-06,0.00270493,-0.186316091,-4.747956972
Slc16a2,0.599109267,6.346243144,4.630340776,3.69E-06,0.003945886,-2.093052028,4.628162064
Vax1,1.345591971,0.402141171,4.684009131,3.64E-06,0.003945886,-3.404460912,4.630930331
Vtn,-0.811513525,2.643493527,-4.643180185,3.53E-06,0.003945886,-1.903306844,-4.637428562
Sgk1,-0.858297771,4.521008571,-4.546016699,5.50E-06,0.005531712,-0.941526865,-4.544936379
Npas4,-1.700955355,1.082393334,-4.590661812,5.87E-06,0.005576901,-3.713726175,-4.531163828
Foxp4,-0.454590855,5.541647994,-4.517485107,6.27E-06,0.005650305,-0.639972002,-4.516960912
Pdcd1,0.724296123,3.608260302,4.472818318,7.82E-06,0.006689623,-1.579119452,4.47010346
LOC113176386,-1.117037998,2.266169548,-4.441662835,9.22E-06,0.007512496,-2.223784585,-4.434727944
Cdiptos,0.590529057,4.008436254,4.376967323,1.21E-05,0.009435136,-1.430386354,4.3752462
Kcnf1,-1.998324211,1.725508569,-4.357566309,1.47E-05,0.010064146,-3.358490845,-4.333099128
LOC113175441,0.617381784,5.842623946,4.338938912,1.46E-05,0.010064146,-2.642880872,4.335290452
Sod3,1.301995606,4.07955151,4.349751741,1.39E-05,0.010064146,-2.281572478,4.346156684
Tigd6,0.723017816,2.127557371,4.320711228,1.61E-05,0.010613795,-2.44536128,4.312722107
Gbe1,0.440618704,6.511035728,4.300646005,1.71E-05,0.010810014,-0.781970782,4.300315945
