,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std
Eif1a,2.372098484,3.088315738,12.40976097,1.56E-34,2.67E-30,0.311864916,12.25601447
Zrsr2,3.406731524,3.202308292,11.19455029,2.42E-28,2.07E-24,-0.086273021,11.04109002
Usp9x,3.363100579,4.286590913,9.104529454,1.23E-19,7.04E-16,0.645935053,9.065996554
Aebp1,0.730330134,6.492893299,7.628767815,2.50E-14,1.07E-10,-1.460059837,7.622045916
Slc13a3,0.703853614,5.778628464,7.196059493,6.58E-13,2.10E-09,-1.80518558,7.18787416
Tamm41,1.746736216,8.486135556,7.178077276,7.35E-13,2.10E-09,-1.398022498,7.17279583
LOC113175910,3.822112106,1.141612344,7.234311643,1.83E-12,4.46E-09,-2.432486222,7.047215158
Stra6l,-1.677791782,-0.910374069,-7.182434792,4.09E-12,8.75E-09,-3.809936204,-6.933971845
Fam227a,-1.043874662,2.5687491,-6.689638013,2.90E-11,5.51E-08,-3.039981847,-6.651624232
Uba1y,5.16115536,2.247021271,6.598852186,8.44E-11,1.44E-07,-2.416568646,6.492552725
LOC113177815,-2.01701919,-0.130492412,-6.048390232,3.64E-09,5.66E-06,-3.814369257,-5.899815747
Col2a1,-1.211150141,2.896341637,-5.853885499,5.40E-09,7.71E-06,-2.931279176,-5.834260015
Angpt1,-1.124170783,3.600976476,-5.565636723,2.72E-08,3.32E-05,-2.504635938,-5.558568962
Kdm5d,1.181571742,4.543875559,5.569754275,2.60E-08,3.32E-05,-0.205702011,5.566425298
Fmo3,1.4838303,1.690728409,5.567886434,4.69E-08,5.35E-05,-3.828996014,5.462543009
Iqank1,-0.718221823,3.44479854,-5.333488176,1.01E-07,0.000108376,-2.789594532,-5.32432636
Igfbp3,0.81491111,4.909079266,5.314140987,1.10E-07,0.000110364,-2.274298326,5.309983089
Pms2,-0.662772702,4.684858043,-5.236445669,1.67E-07,0.000158535,-2.280269258,-5.23303127
Insl6,1.27697419,1.970306402,5.276469993,1.81E-07,0.000162682,-3.651506361,5.21825148
Cpxm2,0.844297552,3.599318813,5.21088166,2.05E-07,0.000175755,-3.13610382,5.194378518
Rorb,-0.586953442,5.030448277,-5.055694154,4.32E-07,0.000352353,-1.201942738,-5.05411769
Rapgef3,0.530541321,4.675247661,5.050223316,4.53E-07,0.000352745,-2.633933552,5.045017892
Marchf10,-0.788844598,2.579686609,-4.999846599,6.25E-07,0.000465204,-3.225236551,-4.983253931
Foxg1,1.791870708,-0.534667966,5.151136983,8.08E-07,0.00057628,-4.103128561,4.93337706
Fsip2,-0.592426484,7.628469354,-4.876986208,1.08E-06,0.000741906,-1.798394315,-4.875772752
Dkk1,1.035844881,2.114793401,4.878425465,1.30E-06,0.000857225,-3.653210851,4.839388453
Abcc2,-0.951043647,2.791657288,-4.838236431,1.39E-06,0.000878228,-3.115923207,-4.827061695
Ptk2b,-1.79545447,3.300483487,-4.786935605,1.76E-06,0.001076204,-2.845823067,-4.779094305
Cyp2b4,-1.286110785,0.032735816,-4.793455873,1.99E-06,0.001176372,-3.699220394,-4.75408202
Ccdc114,-0.578335332,3.457188144,-4.610317378,4.16E-06,0.002203996,-3.055079482,-4.60311308
Krt36,5.778314686,-1.892403461,4.809833171,4.33E-06,0.002203996,-4.161424207,4.594886502
Serpina3,1.093894705,5.783824912,4.616281689,3.92E-06,0.002203996,-0.724633591,4.615444893
Slco1c1,0.869874567,5.128798076,4.602597435,4.24E-06,0.002203996,-2.669845098,4.599235283
Trappc2,0.490709205,4.319925906,4.59557693,4.38E-06,0.002203996,-2.33504683,4.592537605
Zan,-0.475532027,4.231232929,-4.550943369,5.43E-06,0.002653628,-2.742895307,-4.547554876
