"","...03_output.hisat_files.AGSF2011_fastp.bb.trimmed_aligned.bam","...03_output.hisat_files.AGSF2032_fastp.bb.trimmed_aligned.bam","...03_output.hisat_files.AGSF2043_fastp.bb.trimmed_aligned.bam","...03_output.hisat_files.AGSF2060_fastp.bb.trimmed_aligned.bam","...03_output.hisat_files.AGSF2073_fastp.bb.trimmed_aligned.bam","...03_output.hisat_files.AGSF2083_fastp.bb.trimmed_aligned.bam","...03_output.hisat_files.AGSM2007_fastp.bb.trimmed_aligned.bam","...03_output.hisat_files.AGSM2008_fastp.bb.trimmed_aligned.bam","...03_output.hisat_files.AGSM2018_fastp.bb.trimmed_aligned.bam","...03_output.hisat_files.AGSM2024_fastp.bb.trimmed_aligned.bam","...03_output.hisat_files.AGSM2029_fastp.bb.trimmed_aligned.bam","...03_output.hisat_files.AGSM2055_fastp.bb.trimmed_aligned.bam","...03_output.hisat_files.AGSM2057_fastp.bb.trimmed_aligned.bam","...03_output.hisat_files.AGSM2080_fastp.bb.trimmed_aligned.bam"
"LOC113196614",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC113175023",53,60,46,48,38,32,71,33,31,51,29,38,87,24
"Fam98a",2927,4101,3359,2486,3619,2914,3934,3028,2587,3101,3194,2825,5739,2867
"Rasgrp3",1108,2512,379,298,418,824,1114,774,510,825,749,573,1630,301
"Ltbp1",2577,6008,2994,1768,2050,2622,4075,3047,2859,3321,3093,2352,6547,1616
"LOC113187729",1,4,0,0,2,1,6,1,0,0,0,1,8,1
"Ttc27",1596,1917,1469,1378,1339,1219,1644,1526,1287,1490,1667,1359,2658,1597
"LOC113194620",5,2,2,12,3,0,1,3,0,5,3,4,3,1
"Birc6",9183,12117,9249,8367,11351,7774,10602,7842,7248,8194,9392,8350,20192,9322
"LOC113190616",82,108,123,57,96,66,81,87,61,104,84,121,168,64
"Yipf4",5812,6955,5626,4305,4650,4850,6071,5115,4459,5586,5403,5032,7826,4325
"Nlrc4",232,1428,425,174,305,621,840,518,379,650,490,324,599,98
"Slc30a6",1171,1266,1055,893,836,881,1079,968,832,997,1062,973,1682,873
"Spast",6058,6357,5093,4088,4921,4751,5509,4960,4337,5237,5497,4904,9337,4799
"Dpy30",3890,4480,3176,2410,2686,3185,3704,3575,2990,3885,3692,3437,4774,2699
"Memo1",2297,2145,1971,1637,1705,1688,2053,1732,1526,1821,1858,1586,3658,1681
"Srd5a2",12,14,6,7,3,5,1,3,13,17,10,7,14,12
"Xdh",1637,1214,1069,2347,885,1386,2375,1538,1658,1600,1617,1382,5893,1366
"Ehd3",7503,5217,7038,5792,7376,4260,6757,5475,4790,5957,6288,6163,8494,6761
"Capn14",1,6,0,0,1,1,0,2,0,5,3,0,2,3
"Galnt14",681,311,629,303,519,210,352,316,409,380,419,449,408,401
"Capn13",20,15,7,2,6,5,7,5,12,8,19,7,13,14
"Lclat1",1786,1915,1501,1299,1575,1398,1698,1527,1305,1610,1541,1383,2903,1457
"Lbh",1323,761,1011,1220,1255,550,1180,920,1083,983,938,882,1798,1258
"Ypel5",4032,4160,3930,3475,3465,2987,3715,3444,3110,3477,3925,3370,5462,3431
"Alk",836,1526,402,342,467,798,752,622,434,632,611,674,1766,520
"Clip4",4568,2677,3169,2950,3192,1496,3179,2290,2409,2585,3099,3356,4791,3052
"Pcare",81,21,17,5,15,9,23,12,9,15,12,9,29,19
"Togaram2",2127,1051,1315,1071,904,602,1497,1109,1050,1139,1190,1645,2226,1302
"Wdr43",3338,4081,3114,2736,3289,3161,3859,3311,2996,3696,3429,3101,6535,3549
"LOC113195633",16,10,7,18,4,12,10,2,1,12,23,7,19,4
"LOC113175873",1,4,0,2,1,0,0,3,2,2,7,0,0,5
"LOC113175812",5,4,1,4,0,2,2,0,0,2,4,2,4,1
"LOC113175924",0,7,3,0,3,0,1,0,1,0,2,0,4,3
"Trmt61b",1557,1305,967,1011,1210,870,1147,1095,997,1018,1150,1008,1582,1151
"Spdya",1851,987,968,1039,807,756,1163,856,909,1004,945,940,2032,868
"Ppp1cb",12274,10282,10562,9447,10286,7098,11114,9600,9060,9995,10850,9703,16860,10025
"LOC113196536",0,6,5,1,0,5,6,3,1,0,0,6,5,2
"Plb1",56,344,64,62,78,184,178,113,90,105,114,83,572,32
"Fosl2",1514,2862,2558,2900,2209,1426,2663,2119,1935,2234,2501,2043,7068,1875
"Babam2",3566,4482,2633,2510,1878,1668,2802,2609,2366,2828,3087,3011,3533,2103
"Rbks",2253,2163,1848,1733,1688,1518,2349,2014,1614,1878,2088,1784,3046,1445
"Mrpl33",2299,2732,2236,1761,1842,1897,2548,2246,2178,2666,2453,2161,4127,1774
"LOC113192427",9408,5267,6174,6394,6598,5004,6875,6804,6458,7263,7738,6940,10388,6974
"Slc4a1ap",6831,5390,5227,5403,5776,4195,5709,5175,4853,5483,5542,5144,8662,5285
"LOC113175580",14,5,22,11,12,14,20,11,8,11,9,12,31,13
"Supt7l",1385,1444,1272,1050,1035,1087,1478,1164,1083,1275,1322,1155,2229,1228
"Gpn1",2782,2876,1902,1624,1976,1548,2139,1883,1685,2234,2116,1903,3359,1678
"Ccdc121",690,697,507,526,509,498,626,493,581,508,603,496,842,477
"Znf512",6790,8301,6385,5399,6182,5708,7363,5728,6006,6673,6646,6245,11509,6113
"CUNH2orf16",276,240,232,242,241,123,238,232,217,201,263,275,285,238
"Gckr",58,54,28,18,18,32,38,28,47,32,28,40,87,29
"Fndc4",1608,683,981,928,1061,674,897,867,839,856,919,993,1363,1286
"Ift172",7345,9215,5667,5040,3639,4170,7053,5174,4917,5651,6087,6058,9409,3573
"Krtcap3",1485,2289,1177,960,735,1504,1758,1419,1160,1657,1564,1282,2152,643
"Nrbp1",10872,7680,8860,8660,9595,6833,9367,8280,7823,8806,8967,8189,14828,9276
"LOC113176090",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ppm1g",7787,8833,6928,5620,6442,6732,8682,7219,7050,7985,7863,7060,12718,6327
"Znf513",3523,3873,3043,2634,3006,2399,3772,3069,2495,3201,3666,2889,4600,2741
"Snx17",7746,8352,7002,5408,6405,5830,8014,6798,5909,6925,8066,6681,10060,5650
"Eif2b4",4813,3999,3869,3710,4095,3297,4529,3727,3678,4233,4241,3501,6788,4222
"Gtf3c2",2760,4603,2620,2208,2160,2328,3327,2282,2268,2679,2771,2679,5192,2237
"Mpv17",1743,2454,1510,1373,1306,1035,1914,1380,1343,1385,1603,1274,2529,1071
"LOC113181254",354,255,300,243,233,198,251,289,204,268,236,222,411,209
"Ucn",84,46,69,44,66,43,56,49,58,67,48,49,54,46
"Trim54",7,10,8,14,5,4,12,8,4,13,5,5,24,2
"Dnajc5g",0,0,8,0,1,2,2,6,0,1,4,9,4,0
"Slc30a3",38,86,116,110,43,30,195,180,76,98,107,64,48,62
"Cad",4781,6203,4308,4203,4153,3543,5428,4015,3856,4310,4607,3991,7122,3656
"Atraid",5284,6539,4803,3783,4014,3583,5680,4582,3949,4960,5444,4681,5905,3415
"Slc5a6",3884,3486,2795,3882,2646,1996,3357,2812,2708,3104,3454,2755,5014,2446
"Tcf23",60,23,30,51,57,18,34,30,34,22,20,22,53,23
"Prr30",20,11,15,30,40,23,17,9,10,16,20,6,42,16
"Preb",3763,4671,4182,3560,4415,3314,4561,3944,3521,4217,4623,3768,6583,3849
"Abhd1",1678,1813,1382,1310,1430,1044,1684,1419,1024,1327,1573,1306,1785,1083
"Cgref1",2400,2428,2146,1478,1966,1982,2364,1692,1517,2039,2496,1937,1784,1808
"Khk",1894,2452,1763,1274,1409,1292,1851,1585,1488,1706,1974,1913,2124,1031
"Emilin1",1209,2263,1311,1329,1214,1339,1991,1950,1173,1539,1372,730,2947,567
"Ost4",2276,2801,2425,1899,2067,2020,2712,2611,1951,2639,2467,2476,3306,1950
"Agbl5",3280,3624,3050,2586,2655,2371,3379,2661,2392,2815,2823,2789,4793,2803
"Trnaa-agc",0,0,0,0,2,1,0,0,2,0,0,0,2,0
"Trnay-gua",5,7,0,0,0,0,0,4,1,3,3,2,0,1
"Tmem214",4561,5331,3957,3893,3927,3556,5148,3547,3356,3974,4293,3500,6910,3907
"Mapre3",22937,17868,19795,17801,18766,14473,20191,17514,16386,18620,19712,19116,31926,17750
