,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std
Cdca5,1.036744458,0.870743513,5.263524297,1.90E-07,0.003251046,-2.176578062,5.208888492
Plau,1.262303541,1.68874402,4.956249325,8.27E-07,0.007079323,-1.890686853,4.928800042
Dnajc4,0.687266076,4.024977118,4.781531963,1.77E-06,0.010089316,-0.628284952,4.778200367
C1qa,0.535434825,4.686964787,4.469224046,7.90E-06,0.016903029,-0.647117792,4.4678263
Fam151a,0.970477624,2.174202076,4.4837804,7.81E-06,0.016903029,-1.897874013,4.470383235
Ptk2b,-0.550204141,5.478058895,-4.60975919,4.05E-06,0.016903029,-0.209815328,-4.609015293
Sf3a2,-0.279530209,5.56002738,-4.498837905,6.86E-06,0.016903029,-0.372670865,-4.498114376
Tyrobp,0.938379729,3.258637068,4.531161108,6.03E-06,0.016903029,-1.306642552,4.525195003
Adra2c,1.283348644,1.694679962,4.467295668,9.39E-06,0.017851835,-2.795670324,4.430796511
Vtn,0.782768527,2.643493527,4.407334669,1.09E-05,0.018568643,-1.649174823,4.399489023
Ccdc177,0.692448374,2.445109739,4.352063308,1.41E-05,0.020409692,-1.849549441,4.342495361
Chchd10,0.351664285,5.549170766,4.312687111,1.62E-05,0.020409692,-0.642848021,4.311998047
Gja4,1.360588719,1.608832367,4.325251181,1.67E-05,0.020409692,-2.306274862,4.305020917
Nefm,1.010266813,7.667258385,4.333921194,1.47E-05,0.020409692,-0.525502444,4.333426973
Tk1,0.806221471,2.404314922,4.275622054,1.99E-05,0.022686611,-1.927038119,4.266173469
LOC113190950,0.77909823,2.151239774,4.239189665,2.35E-05,0.023667006,-2.036868283,4.22864087
Tmed3,0.45974669,5.561168792,4.234113671,2.30E-05,0.023667006,-0.7463807,4.233468199
Znf583,-0.39738526,3.907111522,-4.206712872,2.61E-05,0.024847944,-1.190026499,-4.204760628
Slc9a3r2,0.413874745,6.186289829,4.188887011,2.81E-05,0.025302155,-0.74717801,4.188405301
Eva1c,-0.612611032,3.544585587,-4.172936317,3.04E-05,0.025964928,-1.318588868,-4.170577524
Npc2,0.509370369,5.302292871,4.160439751,3.19E-05,0.025964928,-0.886553445,4.159729082
Mrpl52,0.271550257,5.594276163,4.113539349,3.91E-05,0.026736218,-0.901255893,4.112980467
Opn3,-0.431059558,4.911692869,-4.122914998,3.75E-05,0.026736218,-0.979812026,-4.122131421
Rpl7a,0.315507583,9.106985214,4.140146609,3.48E-05,0.026736218,-0.888707387,4.139524577
Wdr35,-0.292663066,5.886759141,-4.122322329,3.76E-05,0.026736218,-0.855784142,-4.121840452
Hcfc2,-0.276749188,5.549800496,-4.101640919,4.11E-05,0.027065379,-0.919268791,-4.101090454
Cuedc1,0.454560698,6.75907948,4.076593276,4.58E-05,0.02860325,-0.890553963,4.076190547
Fam126b,-0.643583139,5.10123088,-4.071755173,4.68E-05,0.02860325,-1.025216041,-4.071057711
Galt,0.466749552,4.07658852,4.056102352,5.03E-05,0.029664432,-1.349172282,4.05436866
Acot11,0.906364754,3.281754424,4.041809427,5.40E-05,0.030807903,-1.754697617,4.037569298
Qprt,1.32739861,3.372145038,4.026973252,5.75E-05,0.031763863,-1.747128608,4.022679109
Blvrb,0.499742156,4.907941521,4.009079966,6.12E-05,0.032720206,-1.183202253,4.008196199
Col24a1,-1.489397003,1.98431852,-3.999984089,6.56E-05,0.033034627,-2.235890873,-3.991585605
Senp7,-0.567030985,1.679267892,-4.009121831,6.49E-05,0.033034627,-2.637762958,-3.994194601
LOC113175409,2.206266232,5.72455986,3.956749034,7.65E-05,0.036375744,-1.398955221,3.955038465
Mdn1,-0.349138738,6.714760627,-3.957949541,7.57E-05,0.036375744,-1.063112021,-3.957587466
Tcn2,0.660833402,4.594123668,3.948120459,8.02E-05,0.037085561,-2.337040081,3.943853495
Grhpr,0.62341814,5.25525009,3.930922141,8.49E-05,0.038212632,-1.222518611,3.930264543
Pcbp2,-0.459458094,2.663811892,-3.928128911,8.73E-05,0.038292615,-1.985419705,-3.923511244
Tcerg1,-0.270323791,6.087141062,-3.914781025,9.06E-05,0.038775763,-1.14798043,-3.914385758
CUNH1orf53,0.372533429,3.796325177,3.908686357,9.35E-05,0.039039753,-1.603194647,3.906783265
Sgsh,0.610139062,4.122782308,3.900821558,9.65E-05,0.03930761,-1.520085677,3.899298795
Cxcl12,0.747377318,4.386220035,3.85681706,0.000117221,0.040596535,-2.481513679,3.851866108
Fem1c,-0.563719975,5.612643658,-3.864184543,0.000111662,0.040596535,-1.24809657,-3.863745583
Fuca1,0.407042577,5.243119752,3.8772378,0.000105907,0.040596535,-1.285990216,3.876644443
LOC113177141,-0.385686175,7.093347367,-3.867644459,0.000110046,0.040596535,-1.199039634,-3.867302678
Ndufb11,0.48148276,3.993842305,3.861511988,0.000113416,0.040596535,-1.595998876,3.859938022
Pttg1,0.670231826,3.38822324,3.874796945,0.000107953,0.040596535,-1.801950337,3.871985101
Rcan3,0.319961633,6.987759209,3.850509118,0.000118034,0.040596535,-1.223526652,3.850174772
Tspo,0.508369376,5.127966328,3.849599653,0.000118613,0.040596535,-1.33963581,3.848974931
Plekhn1,-0.71217354,1.99131217,-3.838334587,0.000127375,0.04274054,-2.292666839,-3.831479572
Abhd1,0.339682595,4.427214453,3.801156512,0.000144638,0.045934308,-1.557229576,3.800098654
Bsg,0.351879711,8.904262308,3.80052961,0.000144946,0.045934308,-1.801502623,3.799573163
Mgll,0.488603387,4.119026876,3.803662102,0.000143461,0.045934308,-1.67202404,3.802123031
Asb2,1.116245275,1.104295029,3.788331747,0.000163304,0.048183069,-2.823987811,3.76991401
Ccsap,-0.637886023,3.814588884,-3.778539181,0.000158626,0.048183069,-1.676091174,-3.777161507
Mogat2,0.844526888,0.660547338,3.794544742,0.000160757,0.048183069,-2.896706639,3.77383543
Thrap3,-0.28511216,7.765257192,-3.776785397,0.000159315,0.048183069,-1.744684513,-3.776081623
Ankrd28,-0.429090731,6.455626595,-3.740865379,0.000183617,0.051017462,-1.392215903,-3.740551217
Eif4ebp2,-0.51742499,2.865094178,-3.74460504,0.000183332,0.051017462,-2.115135027,-3.740942299
Kif23,1.413629366,-0.897175813,3.817615703,0.000177945,0.051017462,-3.437591438,3.748430526
Kmt2e,-0.297633809,7.823001476,-3.73923596,0.000184835,0.051017462,-1.407546746,-3.738889323
Celf1,-0.360373517,6.684812861,-3.710956942,0.000206723,0.054227645,-1.434851834,-3.71065577
Coa4,0.701279421,3.326518971,3.715215146,0.000205227,0.054227645,-2.008292953,3.712493838
LOC113197488,0.657910445,2.706040656,3.703401402,0.000216566,0.054227645,-2.248587734,3.698864394
Slc37a4,0.60018424,3.736038886,3.707174996,0.000211166,0.054227645,-1.886063459,3.705269604
Smdt1,0.361234703,6.665450864,3.706766963,0.000210173,0.054227645,-1.442016615,3.706463879
Trib2,0.84927188,5.520453758,3.696970153,0.000218647,0.054227645,-1.541075427,3.696436306
Zfp956,-0.614762133,4.736472821,-3.698219876,0.000217702,0.054227645,-1.600025196,-3.69753635
LOC113191698,0.922138477,0.450960625,3.711800334,0.000225867,0.055217969,-3.034851301,3.688176724
Fbxo30,-0.496356176,4.780881252,-3.668631916,0.000244434,0.05751198,-1.621854775,-3.668021697
