,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std
A2m,1.389106629,1.899204986,1.294268324,0.195896669,0.999823494,-4.530034175,1.293330811
A3galt2,0.161800935,0.391501973,0.446272302,0.65597485,0.999823494,-4.665760807,0.445477315
A4galt,-0.786429052,2.765846055,-1.071514041,0.288612086,0.999823494,-4.591575615,-1.061171243
Aaas,-0.017840131,6.48959425,-0.197341715,0.843560846,0.999823494,-5.382435353,-0.197340809
Aacs,0.297047605,5.409382823,1.08069492,0.279869617,0.999823494,-4.688722066,1.080612282
Aadat,-0.019525167,2.08557327,-0.048956889,0.960958152,0.999823494,-4.880715297,-0.048951243
Aagab,-0.046293603,6.414857431,-0.32606733,0.744374646,0.999823494,-5.349414379,-0.326065703
Aak1,0.046622277,7.445495614,0.249263411,0.803157938,0.999823494,-5.373816448,0.24926224
Aamdc,0.005762921,3.302337511,0.028591907,0.977193738,0.999823494,-4.846796299,0.028587304
Aamp,0.092485459,7.845648351,0.772486793,0.439830114,0.999823494,-5.116624386,0.772480126
Aanat,-1.587204787,-0.893353202,-1.972024876,0.051283758,0.999823494,-4.456928217,-1.949097704
Aar2,-0.044002885,5.429144015,-0.272594867,0.785192051,0.999823494,-4.861918429,-0.272559235
Aars,0.235417885,8.09223788,1.26128111,0.207353308,0.999823494,-4.545381416,1.260876607
Aars2,-0.191584202,4.494261759,-0.289131135,0.774379851,0.999823494,-4.616216736,-0.286650619
Aasdh,-0.020892467,4.447385893,-0.050584029,0.95976035,0.999823494,-4.654119236,-0.05045432
Aasdhppt,0.219384846,5.359721669,0.617769015,0.537189271,0.999823494,-4.667918345,0.617068916
Aass,-0.044257912,3.496545588,-0.19154535,0.848102846,0.999823494,-5.050953629,-0.191539616
Aatf,0.124683584,5.390229391,0.796272438,0.425900688,0.999823494,-4.840119471,0.796225999
Aatk,-0.185127207,6.476279672,-0.669436738,0.503280545,0.999823494,-4.788210362,-0.669336976
Abat,0.044579427,8.584888144,0.143920457,0.885572049,0.999823494,-4.933337953,0.143909354
Abca1,-0.04744305,5.51612768,-0.249355539,0.80308771,0.999823494,-5.230957638,-0.249353036
Abca13,1.061860695,2.504128705,1.209213488,0.226662713,0.999823494,-4.577587219,1.209000344
Abca2,-0.043150097,8.02714052,-0.342248797,0.732165748,0.999823494,-5.259789731,-0.34224603
Abca3,-0.053909968,7.124065767,-0.241546419,0.809140656,0.999823494,-4.989552591,-0.24153479
Abca4,-0.091909685,1.011122064,-0.157350699,0.875697231,0.999823494,-4.628514602,-0.156426017
Abca5,-0.069664973,7.019129121,-0.544218058,0.586293472,0.999823494,-5.283054008,-0.544215085
Abca7,-0.380143091,4.42734019,-0.975297616,0.329488548,0.999823494,-4.69103941,-0.975144579
Abcb1,-0.729646051,4.163261973,-2.451515603,0.014302383,0.753370427,-3.946838123,-2.449577734
Abcb10,0.054205467,5.610224798,0.287369174,0.773848865,0.999823494,-4.906702949,0.287344092
Abcb4,-0.787568767,0.123348514,-2.26470041,0.024782941,0.883463157,-4.380670134,-2.244769389
Abcb6,0.335507789,5.919446519,3.412150758,0.000645045,0.234864826,-2.11697581,3.411930945
Abcb7,0.030072809,4.677709676,0.144300007,0.885265841,0.999823494,-5.120582532,0.144297135
Abcb8,-0.077860922,5.650042512,-0.229801818,0.818475496,0.999823494,-4.683308268,-0.229506208
Abcb9,-0.046885367,5.135758649,-0.235965331,0.813491202,0.999823494,-4.834741523,-0.23592457
Abcc1,-0.005223599,5.328337034,-0.016339218,0.986963883,0.999823494,-5.269255932,-0.016339077
Abcc10,0.002513233,4.707079354,0.012853951,0.989744585,0.999823494,-5.081163538,0.012853611
Abcc11,0.258135464,3.021507339,1.258787759,0.208182815,0.999823494,-4.552614209,1.25857795
Abcc2,0.108475407,2.791657288,0.130849144,0.896520848,0.999823494,-4.626299943,0.130057609
Abcc3,-0.540806933,2.393057115,-1.022106005,0.306849249,0.999823494,-4.650995344,-1.0218556
Abcc4,-0.542537576,3.949494308,-1.259329677,0.208371044,0.999823494,-4.54640673,-1.258057275
Abcc5,0.075735808,6.744629497,0.904393802,0.365790328,0.999823494,-5.066331446,0.904386813
Abcc6,0.16147476,2.047367466,0.598842647,0.549332672,0.999823494,-4.809736371,0.598760401
Abcc8,-0.49576431,4.986525157,-2.251151234,0.024416708,0.883463157,-3.910988948,-2.250508138
Abcc9,-0.500780423,3.099280549,-1.301849034,0.193090708,0.999823494,-4.524372202,-1.301490227
Abcd1,-0.12991535,5.074434223,-0.775443639,0.438092463,0.999823494,-4.916623032,-0.775418405
Abcd2,-0.594077667,3.62757155,-1.504177354,0.134069044,0.999823494,-4.519067872,-1.498247171
Abcd3,0.029349448,5.711932643,0.362690438,0.716839069,0.999823494,-5.201488373,0.362686522
Abcd4,-0.261008572,3.968627534,-1.147226763,0.251627386,0.999823494,-4.580165439,-1.146405553
Abce1,0.19905785,6.735005464,1.461030667,0.144054116,0.999823494,-4.446935821,1.460859087
Abcf1,0.073784995,7.022619063,0.757272153,0.448901854,0.999823494,-4.924077584,0.757247072
Abcf2,0.070524393,6.750147204,0.42177974,0.673192145,0.999823494,-5.089136429,0.421771041
Abcf3,0.221023924,6.910824018,1.813706973,0.069758022,0.999823494,-4.192800291,1.813478693
Abcg1,0.136332222,6.208193096,1.126595342,0.259918849,0.999823494,-4.867893168,1.126582956
Abcg4,-0.131908708,4.542747827,-0.366264962,0.714176461,0.999823494,-5.023158565,-0.36625278
Abcg5,-0.314792421,0.889446611,-0.765727754,0.443997118,0.999823494,-4.70900059,-0.765460938
Abhd1,-0.305027177,4.427214453,-3.157250346,0.001595418,0.353531157,-2.697790715,-3.156743203
Abhd10,-0.166456804,4.633463556,-1.359095551,0.174130011,0.999823494,-4.570212948,-1.359052317
Abhd11,-0.178159147,5.136247562,-1.586148028,0.11271616,0.999823494,-4.377049402,-1.586102057
Abhd12,-0.042970706,6.730263396,-0.129959475,0.896748202,0.999823494,-4.678454354,-0.129770248
Abhd12b,-1.070826151,0.603463123,-2.058151544,0.039861858,0.999823494,-4.186643831,-2.055177555
Abhd13,0.04427467,4.207512277,0.199349268,0.842009357,0.999823494,-4.868033965,0.199323935
Abhd14a,-0.104464423,4.408957396,-0.556368302,0.577974999,0.999823494,-4.952104808,-0.556345045
Abhd14b,-0.421174663,2.269461701,-1.028492533,0.304145102,0.999823494,-4.610442241,-1.027584961
Abhd15,0.122492401,2.015169479,0.341409567,0.732826226,0.999823494,-4.860383204,0.341368446
Abhd16a,0.001624603,7.104991686,0.020230433,0.983859619,0.999823494,-5.408569781,0.020230347
Abhd16b,0.31249537,-1.320648141,0.372121482,0.710179012,0.999823494,-4.686939979,0.371615681
Abhd17a,0.099815813,6.645685514,1.25495698,0.209499407,0.999823494,-4.770533627,1.254943125
Abhd17b,0.15755962,5.375830689,1.005080764,0.314894917,0.999823494,-4.726574383,1.005004014
Abhd17c,0.158854331,4.68583621,0.249341325,0.804665233,0.999823494,-4.617415406,0.247313989
Abhd18,0.15478541,3.835605686,0.97583531,0.329165291,0.999823494,-4.799992159,0.975796558
Abhd2,0.149071017,7.757900428,1.319828135,0.186897984,0.999823494,-4.70029754,1.319811431
Abhd3,-0.172625999,5.160787027,-1.229879877,0.218769095,0.999823494,-4.622999679,-1.229807777
Abhd4,-0.08969499,4.969558174,-0.431889727,0.665839958,0.999823494,-4.937070013,-0.431864416
Abhd5,0.039218959,2.646448234,0.195855502,0.84473336,0.999823494,-4.941167658,0.195842607
Abhd6,-0.14837489,4.582101319,-0.866006807,0.386517783,0.999823494,-4.801762329,-0.865949633
Abhd8,-0.165184109,6.934683622,-0.86593747,0.386535157,0.999823494,-4.927666162,-0.865917953
Abi1,0.176447215,6.128039357,1.581705405,0.113723001,0.999823494,-4.422576643,1.581678424
Abi2,0.108864554,6.548462669,0.43009441,0.667156053,0.999823494,-4.882628963,0.430054422
Abi3,-0.135266683,1.547743158,-0.394929345,0.693447313,0.999823494,-4.664377062,-0.394181134
Abi3bp,0.059201316,5.165446305,0.136018609,0.891807811,0.999823494,-5.212517184,0.136017039
Abl1,0.121358284,6.898252617,0.58246959,0.560252642,0.999823494,-5.263870478,0.58246629
Abl2,0.162622437,5.104709645,1.209512436,0.226474246,0.999823494,-4.743798208,1.209491054
Ablim1,-0.102765044,6.897864404,-0.408107411,0.683308825,0.999823494,-4.751625752,-0.407952123
Ablim2,-0.22709876,7.206851036,-2.091878515,0.036457898,0.975067917,-3.866779749,-2.091783373
Ablim3,0.100082702,6.369656445,0.35075108,0.725884918,0.999823494,-4.749017072,0.350604716
Abr,0.096134666,8.265487615,0.335263328,0.737606527,0.999823494,-4.713406811,0.335024603
Abracl,-0.133724424,1.005102402,-0.398630539,0.690269015,0.999823494,-4.761843076,-0.398490017
Abraxas1,-0.08167452,3.21710263,-0.554075449,0.579545325,0.999823494,-4.933944394,-0.554048981
Abraxas2,0.076093626,4.892407163,0.381820548,0.702667762,0.999823494,-4.785001379,0.381721755
Abt1,0.074594042,5.536589125,0.263390836,0.792429818,0.999823494,-4.70273975,0.263156681
Abtb1,-0.018179392,4.984438592,-0.140885132,0.887962648,0.999823494,-5.142359027,-0.14088265
Abtb2,0.107557788,4.53331951,0.43085031,0.666645537,0.999823494,-4.794448611,0.430756355
Acaa1,-0.129599153,0.149012938,-0.230339205,0.818335164,0.999823494,-4.654073123,-0.229686786
Acaa2,0.014241551,7.315816774,0.066253026,0.947180245,0.999823494,-4.942898845,0.066248172
Acaca,0.141015906,6.42148988,1.048407019,0.294455658,0.999823494,-4.945734459,1.048397168
Acacb,-0.488849228,6.417506112,-3.290410851,0.0010046,0.272523727,-3.171964377,-3.289235242
Acad10,-0.330454799,5.535827534,-1.713705319,0.086596923,0.999823494,-4.247432271,-1.71362879
Acad11,-0.37884252,4.775173709,-1.42087619,0.15558657,0.999823494,-4.479878485,-1.420072519
Acad8,-0.108101614,5.579394033,-0.504003131,0.614262558,0.999823494,-5.191869459,-0.503998319
Acad9,0.030983323,5.615554552,0.165899755,0.868237038,0.999823494,-5.254822323,0.165898233
Acadl,-0.063041217,6.380002244,-0.465362272,0.641673897,0.999823494,-5.300566986,-0.465359688
